id,climate,energy,environment,resources,sustainability,dedicated
C11N605102,0,0,0,0,0,0
C11N306102,0,0,0,0,0,0
C11N507101,0,0,0,0,0,0
C11N421201,0,0,0,0,0,0
C11N406201,0,0,0,0,0,0
C11N106101,0,0,0,0,0,0
C11N602101,0,0,0,0,0,0
C11N504101,0,0,0,0,0,0
C11N202101,0,0,0,0,0,0
C11N602201,0,0,0,0,0,0
C11N121103,0,0,0,0,0,0
C11N411101,0,0,0,0,0,0
C11N116101,0,0,0,0,0,0
C11N604101,0,0,0,0,0,0
C11N301101,0,0,0,0,0,0
C11N304102,0,0,0,0,0,0
C11N111103,0,0,0,0,0,0
C11N402102,0,0,0,0,0,0
C11N211102,0,0,0,0,0,0
C11N504102,0,0,0,0,0,0
C11N102201,0,0,0,0,0,0
C11N502201,0,0,0,0,0,0
C11N402201,0,0,0,0,0,0
C11N121101,0,0,0,0,0,0
C11N406102,0,0,0,0,0,0
C11N501101,0,0,0,0,0,0
C11N222101,0,0,0,0,0,0
C11N609101,0,0,0,0,0,0
C11N501103,0,0,0,0,0,0
C11N506101,0,0,0,0,0,0
C11N404102,0,0,0,0,0,0
C11N211101,0,0,0,0,0,0
C11N411102,0,0,0,0,0,0
C11N607101,0,0,0,0,0,0
C11N401104,0,0,0,0,0,0
C11N602102,0,0,0,0,0,0
C11N606101,0,0,0,0,0,0
C11N102101,0,0,0,0,0,0
C11N111101,0,0,0,0,0,0
C11N602202,0,0,0,0,0,0
C11N502101,0,0,0,0,0,0
C11N606201,0,0,0,0,0,0
C11N102102,0,0,0,0,0,0
C11N101101,0,0,0,0,0,0
C11N632101,0,0,0,0,0,0
C11N507201,0,0,0,0,0,0
C11N111201,0,0,0,0,0,0
C11N307102,0,0,0,0,0,0
C11N608102,0,0,0,0,0,0
C11N402101,0,0,0,0,0,0
C11N608101,0,0,0,0,0,0
C11N302102,0,0,0,0,0,0
C11N402202,0,0,0,0,0,0
C11N604102,0,0,0,0,0,0
C11N126101,0,0,0,0,0,0
C11N101104,0,0,0,0,0,0
C11N204102,0,0,0,0,0,0
C11N301104,0,0,0,0,0,0
C11N302101,0,0,0,0,0,0
C11N111203,0,0,0,0,0,0
C11N404101,0,0,0,0,0,0
C11N304101,0,0,0,0,0,0
C11N221101,0,0,0,0,0,0
C11N101107,0,0,0,0,0,0
C11N201104,0,0,0,0,0,0
C11N605101,0,0,0,0,0,0
C11N306101,0,0,0,0,0,0
C11N632102,0,0,0,0,0,0
C11N202102,0,0,0,0,0,0
C11N502202,0,0,0,0,0,0
C11N421101,0,0,0,0,0,0
C11N607102,0,0,0,0,0,0
C11N102202,0,0,0,0,0,0
C11N201101,0,0,0,0,0,0
C11N406101,0,0,0,0,0,0
C11N401101,0,0,0,0,0,0
C11N502102,0,0,0,0,0,0
G2B0103001,0,0,0,0,0,0
G2B0304001,0,0,0,0,0,0
G2B0302001,0,0,0,0,0,0
G2B0303001,0,0,0,0,0,0
G2B0104002,0,0,0,0,0,0
G2B0501001,0,0,0,0,0,0
G2B0502001,0,0,0,0,0,0
G2B0505001,0,0,0,0,0,0
G2C0201002,0,0,0,0,0,0
G2D0103001,0,0,0,0,0,0
G2B0201001,0,0,0,0,0,0
G2B0102001,0,0,0,0,0,0
G2B0101001,0,0,0,0,0,0
G2B0202001,0,0,0,0,0,0
G2B0504001,0,0,0,0,0,0
G2B0104001,0,0,0,0,0,0
G2C0101001,0,0,0,0,0,0
G2C0201001,0,0,0,0,0,0
Z021201301,0,0,0,0,0,0
Z021100601,0,0,0,0,0,0
Z021100701,0,0,0,0,0,0
Z021500202,0,0,0,0,0,0
Z021201801,0,0,0,0,0,0
Z021201701,0,0,0,0,0,0
Z021500102,0,0,0,0,0,0
Z021201101,0,0,0,0,0,0
Z021500304,0,0,0,0,0,0
Z021500101,0,0,0,0,0,0
Z021200301,0,0,0,0,0,0
Z021201901,1,0,1,0,1,0
Z021500302,0,0,0,0,0,0
Z021100201,0,0,0,0,0,0
Z021201501,0,0,0,0,0,0
Z021500404,0,0,0,0,0,0
Z021100901,0,0,0,0,0,0
Z021201401,0,0,0,0,0,0
Z021500103,0,0,0,0,0,0
Z021500303,0,0,0,0,0,0
Z021100101,0,0,0,0,0,0
Z021200401,0,0,0,0,1,0
Z021202001,0,0,0,0,0,0
Z021200201,0,0,0,0,0,0
Z021500402,0,0,0,0,0,0
Z021500403,0,0,0,0,0,0
Z021201201,0,0,0,0,0,0
Z021500305,0,0,0,0,0,0
Z021100501,0,0,0,0,1,0
Z021100401,0,0,0,0,0,0
Z021200101,0,0,0,0,0,0
Z021500201,0,0,0,0,0,0
Z021500405,0,0,0,0,0,0
Z021300101,0,0,0,0,0,0
Z021201001,0,0,0,0,0,0
Z021200801,0,0,0,0,0,0
Z021300301,0,0,0,0,0,0
Z021300201,0,0,0,0,0,0
Z021200901,0,0,0,0,0,0
Z021201601,0,0,0,0,0,0
Z021500401,0,0,0,0,0,0
Z021100301,1,0,1,0,1,1
Z021200501,0,0,0,0,0,0
Z021500301,0,0,0,0,0,0
Z021100801,0,0,0,0,0,0
Z021500203,0,0,0,0,0,0
Z021200701,0,0,0,0,0,0
Z021200601,0,0,0,0,0,0
J029201101,0,0,0,0,0,0
J029200401,0,0,0,0,0,0
J021301701,0,0,0,0,0,0
J021301901,0,0,0,0,0,0
J021301601,0,0,0,0,0,0
J021302001,0,0,0,0,0,0
J021300601,0,0,0,0,0,0
J021208101,0,0,0,0,0,0
J021301001,0,0,0,0,0,0
J021300401,0,0,0,0,0,0
J021300201,0,0,0,0,0,0
J021207101,0,0,0,0,0,0
J028300201,0,0,0,0,0,0
J028302701,0,0,0,0,0,0
J028300101,0,0,0,0,0,0
J028302201,0,0,0,0,0,0
J028100201,0,0,0,0,0,0
T025399805,0,0,0,0,0,0
T025399905,0,0,0,0,0,0
T020799813,0,0,0,0,0,0
T020799913,0,0,0,0,0,0
T020399912,0,0,0,0,0,0
T020399812,0,0,0,0,0,0
N021518301,0,0,0,0,0,0
N021658401,0,0,0,0,0,0
N021511901,0,0,0,0,0,0
N022890015,0,0,0,0,0,0
N022610811,0,0,0,0,0,0
N021655001,0,0,0,0,0,0
N021518601,0,0,0,0,0,0
N021550301,0,0,0,0,0,0
N022872101,0,0,0,0,0,0
N021658202,0,0,0,0,0,0
N021651301,0,0,0,0,0,0
N021658201,0,0,0,0,0,0
N021651601,0,0,0,0,0,0
N021654101,0,0,0,0,0,0
N021660016,0,0,0,0,0,0
N021511701,0,0,0,0,0,0
N022610711,0,0,0,0,0,0
N026171301,0,0,0,0,0,0
N0231403XX,0,0,0,0,0,0
N021651501,0,0,0,0,0,0
N021514601,0,0,0,0,0,0
N022610822,0,0,0,0,0,0
N021658301,0,0,0,0,0,0
N021518701,0,0,0,0,0,0
N021660113,0,0,0,0,0,0
N022880006,0,0,0,0,0,0
N021652701,0,0,0,0,0,0
N021652801,0,0,0,0,0,0
N022872201,0,0,0,0,0,0
N021513601,0,0,0,0,0,0
N021658501,0,0,0,0,0,0
N021550101,0,0,0,0,0,0
N021513101,0,0,0,0,0,0
N021513401,0,0,0,0,0,0
N021650201,0,0,0,0,0,0
N021521701,0,0,0,0,0,0
N021657101,0,0,0,0,0,0
N022510544,0,0,0,0,0,0
N021550401,0,0,0,0,0,0
N021651201,0,0,0,0,0,0
N021656902,0,0,0,0,0,0
N022871201,0,0,0,0,0,0
N021660201,0,0,0,0,0,0
N021513501,0,0,0,0,0,0
N021521501,0,0,0,0,0,0
N021518401,0,0,0,0,0,0
N021650301,0,0,0,0,0,0
N021655201,0,0,0,0,0,0
N021656001,0,0,0,0,0,0
N021655101,0,0,0,0,0,0
N022870301,0,0,0,0,0,0
N021650101,0,0,0,0,0,0
N021511801,0,0,0,0,0,0
N021654001,0,0,0,0,0,0
N022510644,0,0,0,0,0,0
N022610722,0,0,0,0,0,0
N026180201,0,0,0,0,0,0
N021650601,0,0,0,0,0,0
N021518501,0,0,0,0,0,0
N021660021,0,0,0,0,0,0
N021653101,0,0,0,0,0,0
N022890005,0,0,0,0,0,0
N021652901,0,0,0,0,0,0
N021658109,0,0,0,0,0,0
N021655401,0,0,0,0,0,0
N021656601,0,0,0,0,0,0
N021652001,0,0,0,0,0,0
N022872001,0,0,0,0,0,0
N021660006,0,0,0,0,0,0
N021653401,0,0,0,0,0,0
N0231504XX,0,0,0,0,0,0
N021658502,0,0,0,0,0,0
N021653601,0,0,0,0,0,0
N021658021,0,0,0,0,0,0
N021658111,0,0,0,0,0,0
N021654501,0,0,0,0,0,0
N022890008,0,0,0,0,0,0
N021652201,0,0,0,0,0,0
N021655501,0,0,0,0,0,0
N021658302,0,0,0,0,0,0
N022870001,0,0,0,0,0,0
N021650001,0,0,0,0,0,0
N026190201,0,0,0,0,0,0
N021654401,0,0,0,0,0,0
N021656901,0,0,0,0,0,0
N022890006,0,0,0,0,0,0
N021651001,0,0,0,0,0,0
N022880008,0,0,0,0,0,0
N021654201,0,0,0,0,0,0
N021511601,0,0,0,0,0,0
N021514401,0,0,0,0,0,0
N021652601,0,0,0,0,0,0
N021514701,0,0,0,0,0,0
N022710522,0,0,0,0,0,0
N0231211XX,0,0,0,0,0,0
N021550201,0,0,0,0,0,0
N021654301,0,0,0,0,0,0
N022880014,0,0,0,0,0,0
N021657001,0,0,0,0,0,0
N022610755,0,0,0,0,0,0
N021656401,0,0,0,0,0,0
N021521401,0,0,0,0,0,0
N021514501,0,0,0,0,0,0
N022870501,0,0,0,0,0,0
N021652401,0,0,0,0,0,0
N021651401,0,0,0,0,0,0
N021511501,0,0,0,0,0,0
N021656101,0,0,0,0,0,0
N021658001,0,0,0,0,0,0
N021658402,0,0,0,0,0,0
N021656501,0,0,0,0,0,0
N021657501,0,0,0,0,0,0
N021521601,0,0,0,0,0,0
N021652101,0,0,0,0,0,0
N021513701,0,0,0,0,0,0
N022871101,0,0,0,0,0,0
N021652301,0,0,0,0,0,0
N021653701,0,0,0,0,0,0
N021658113,0,0,0,0,0,0
N021513301,0,0,0,0,0,0
N021652501,0,0,0,0,0,0
N022871001,0,0,0,0,0,0
N021653301,0,0,0,0,0,0
N021655301,0,0,0,0,0,0
N021658701,0,0,0,0,0,0
