id,climate,energy,environment,resources,sustainability,dedicated,total
C1,0,0,0,0,0,0,0
G2,0,0,0,0,0,0,0
Z2,2,0,2,0,4,1,4
J29,0,0,0,0,0,0,0
J21,0,0,0,0,0,0,0
J28,0,0,0,0,0,0,0
T261,0,0,0,0,0,0,0
T241,0,0,0,0,0,0,0
T221,0,0,0,0,0,0,0
N2,0,0,0,0,0,0,0
I25,0,0,0,0,0,0,0
N11,0,0,1,0,1,1,2
P1,0,0,0,0,0,0,0
H2,11,4,18,0,14,11,29
H1,10,2,14,2,17,8,28
E2,8,0,5,0,4,2,15
S11,0,0,0,0,0,0,0
S18,0,0,0,0,0,0,0
S1,0,0,0,0,0,0,0
S15,7,1,1,0,14,2,16
S12,0,0,0,0,0,0,0
S13,1,0,1,0,1,1,1
S14,1,0,1,0,2,0,2
W271,0,0,0,0,0,0,0
W273,0,0,0,0,0,0,0
W261,0,0,0,0,0,0,0
W275,0,0,0,0,0,0,0
W201,0,0,0,0,0,0,0
W20,0,0,0,0,0,0,0
W2,0,0,0,0,0,0,0
W212,1,0,1,0,1,1,1
W211,2,0,1,0,2,0,5
W202,0,0,0,0,0,0,0
W21,3,0,0,0,1,2,3
W221,0,0,0,0,0,0,0
W22,0,0,0,0,0,0,0
W222,0,0,0,0,0,0,0
W213,1,0,0,0,2,2,2
W224,1,0,0,0,0,0,1
W223,0,0,0,0,1,0,1
W225,1,0,0,0,0,0,1
W231,0,0,0,0,0,0,0
W23,0,0,2,0,2,0,2
W24,0,0,0,0,0,0,0
W232,0,0,0,0,0,0,0
W233,0,0,1,0,0,0,1
W241,0,1,1,0,0,0,1
W242,0,0,0,0,0,0,0
W251,0,0,0,0,0,0,0
W243,0,1,0,0,0,0,1
Z11,5,1,9,2,10,6,14
B1,2,0,5,0,8,5,10
D21,0,0,0,0,3,0,3
D23,2,0,0,0,0,0,2
D2,0,0,0,0,0,0,0
D22,1,1,1,0,1,1,2
T1,0,0,0,0,0,0,0
T1N,0,0,0,0,0,0,0
T1K,0,0,0,0,0,0,0
T1M,0,0,0,0,0,0,0
T1V,0,0,0,0,0,0,0
T1U,0,0,0,0,0,0,0
T1Q,0,0,0,0,0,0,0
T1S,0,0,0,0,0,0,0
T1V7,0,0,0,0,0,0,0
T1T,0,0,0,0,0,0,0
T1V1,0,1,1,0,3,1,3
T1V2,5,3,10,2,16,15,17
T1V3,0,0,0,0,0,0,0
T1V5,0,0,0,0,1,0,1
T1V4,0,1,0,0,0,0,1
T1V6,0,3,1,0,1,1,4
T1V8,0,1,3,2,5,2,5
T1V9,0,0,0,0,0,0,0
L1,1,0,1,0,5,2,7
E1,4,3,11,0,15,3,21
G1,26,9,22,4,38,18,53
