id,climate,energy,environment,resources,sustainability,dedicated
LAW_LEGAL_5000_1,0,0,0,0,0,0
LAW_LEGAL_5000_2,0,0,0,0,0,0
LAW_LEGAL_5000_3,0,0,0,0,0,0
LAW_LEGAL_5000_4,0,0,0,0,0,0
LAW_LEGAL_5010_1,0,0,0,0,0,0
LAW_LEGAL_5010_2,0,0,0,0,0,0
LAW_LEGAL_5010_3,0,0,0,0,0,0
LAW_LEGAL_5010_4,0,0,0,0,0,0
LAW_LEGAL_5010_5,0,0,0,0,0,0
LAW_LEGAL_5010_6,0,0,0,0,0,0
LAW_LEGAL_5010_7,0,0,0,0,0,0
LAW_LEGAL_5010_8,0,0,0,0,0,0
LAW_LEGAL_5010_9,0,0,0,0,0,0
LAW_LEGAL_5020_1,0,0,0,0,0,0
LAW_LEGAL_5020_2,0,0,0,0,0,0
LAW_LEGAL_5020_3,0,0,0,0,0,0
LAW_LEGAL_5020_4,0,0,0,0,0,0
LAW_LEGAL_6200_1,0,0,0,0,0,0
LAW_LEGAL_6200_2,0,0,0,0,0,0
LAW_LEGAL_6200_3,0,0,0,0,0,0
LAW_LEGAL_6200_4,0,0,0,0,0,0
LAW_LEGAL_6220_1,0,0,0,0,0,0
LAW_LEGAL_6220_2,0,0,0,0,0,0
LAW_LEGAL_6220_3,0,0,0,0,0,0
LAW_LEGAL_6230_1,0,0,0,0,0,0
LAW_LEGAL_6230_2,0,0,0,0,0,0
LAW_LEGAL_6230_3,0,0,0,0,0,0
LAW_LEGAL_6100_1,0,0,0,0,0,0
LAW_LEGAL_6100_2,0,0,0,0,0,0
LAW_LEGAL_6100_3,0,0,0,0,0,0
LAW_LEGAL_6100_4,0,0,0,0,0,0
LAW_LEGAL_6100_5,0,0,0,0,0,0
LAW_LEGAL_6100_6,0,0,0,0,0,0
LAW_LEGAL_6110_1,0,0,0,0,0,0
LAW_LEGAL_6110_2,0,0,0,0,0,0
LAW_LEGAL_6110_3,0,0,0,0,0,0
LAW_LEGAL_6110_4,0,0,0,0,0,0
LAW_LEGAL_6110_5,0,0,0,0,0,0
LAW_LEGAL_6110_6,0,0,0,0,0,0
LAW_LEGAL_6110_7,0,0,0,0,0,0
LAW_LEGAL_6110_8,0,0,0,0,0,0
LAW_LEGAL_6110_9,0,0,0,0,0,0
LAW_LEGAL_6110_10,0,0,0,0,0,0
LAW_LEGAL_6110_11,0,0,0,0,0,0
LAW_LEGAL_6110_12,0,0,0,0,0,0
LAW_LEGAL_6120_1,0,0,0,0,0,0
LAW_LEGAL_6120_2,0,0,0,0,0,0
LAW_LEGAL_6120_3,0,0,0,0,0,0
LAW_LEGAL_6120_4,0,0,0,0,0,0
LAW_LEGAL_6120_5,0,0,0,0,0,0
LAW_LEGAL_6120_6,0,0,0,0,0,0
LAW_LEGAL_5000_5,0,0,0,0,0,0
LAW_LEGAL_5000_6,0,0,0,0,0,0
LAW_LEGAL_5000_7,0,0,0,0,0,0
LAW_LEGAL_5010_10,0,0,0,0,0,0
LAW_LEGAL_5010_11,0,0,0,0,0,0
LAW_LEGAL_5010_12,0,0,0,0,0,0
LAW_LEGAL_5010_13,0,0,0,0,0,0
LAW_LEGAL_5010_14,0,0,0,0,0,0
LAW_LEGAL_5010_15,0,0,0,0,0,0
LAW_LEGAL_5010_16,0,0,0,0,0,0
LAW_LEGAL_5010_17,0,0,0,0,0,0
LAW_LEGAL_5010_18,0,0,0,0,0,0
LAW_LEGAL_5020_5,0,0,0,0,0,0
LAW_LEGAL_5020_6,0,0,0,0,0,0
LAW_LEGAL_5020_7,0,0,0,0,0,0
LAW_LEGAL_5020_8,0,0,0,0,0,0
LAW_LEGAL_6200_5,0,0,0,0,0,0
LAW_LEGAL_6200_6,0,0,0,0,0,0
LAW_LEGAL_6200_7,0,0,0,0,0,0
LAW_LEGAL_6200_8,0,0,0,0,0,0
LAW_LEGAL_6220_4,0,0,0,0,0,0
LAW_LEGAL_6220_5,0,0,0,0,0,0
LAW_LEGAL_6220_6,0,0,0,0,0,0
LAW_LEGAL_6230_4,0,0,0,0,0,0
LAW_LEGAL_6230_5,0,0,0,0,0,0
LAW_LEGAL_6230_6,0,0,0,0,0,0
LAW_LEGAL_6100_7,0,0,0,0,0,0
LAW_LEGAL_6100_8,0,0,0,0,0,0
LAW_LEGAL_6100_9,0,0,0,0,0,0
LAW_LEGAL_6100_10,0,0,0,0,0,0
LAW_LEGAL_6100_11,0,0,0,0,0,0
LAW_LEGAL_6100_12,0,0,0,0,0,0
LAW_LEGAL_6110_13,0,0,0,0,0,0
LAW_LEGAL_6110_14,0,0,0,0,0,0
LAW_LEGAL_6110_15,0,0,0,0,0,0
LAW_LEGAL_6110_16,0,0,0,0,0,0
LAW_LEGAL_6110_17,0,0,0,0,0,0
LAW_LEGAL_6110_18,0,0,0,0,0,0
LAW_LEGAL_6110_19,0,0,0,0,0,0
LAW_LEGAL_6110_20,0,0,0,0,0,0
LAW_LEGAL_6110_21,0,0,0,0,0,0
LAW_LEGAL_6110_22,0,0,0,0,0,0
LAW_LEGAL_6110_23,0,0,0,0,0,0
LAW_LEGAL_6110_24,0,0,0,0,0,0
LAW_LEGAL_6120_7,0,0,0,0,0,0
LAW_LEGAL_6120_8,0,0,0,0,0,0
LAW_LEGAL_6120_9,0,0,0,0,0,0
LAW_LEGAL_6120_10,0,0,0,0,0,0
LAW_LEGAL_6120_11,0,0,0,0,0,0
PPL_5000_1,0,0,0,0,0,0
PPL_5010_1,0,0,0,0,0,0
PPL_5030_1,0,0,1,0,1,0
PPL_5020_1,0,0,0,0,0,0
PPL_5000_2,0,0,0,0,0,0
PPL_5020_2,0,0,0,0,0,0
PPL_5010_2,0,0,0,0,0,0
PPL_5100_1,0,0,0,0,0,0
PPL_5100_2,0,0,0,0,0,0
PPL_5120_1,0,0,0,0,0,0
PPL_5122_1,0,0,0,0,0,0
PPL_5120_2,0,0,0,0,0,0
PPL_5130_1,0,0,1,0,1,1
PPL_5130_2,0,0,0,0,1,0
PPL_5130_3,0,0,0,0,0,0
PPL_6232_1,0,0,0,0,0,0
PPL_6231_1,0,0,0,0,0,0
PPL_6250_1,0,0,0,0,0,0
PPL_6210_1,0,0,0,0,0,0
PPL_6220_1,1,0,1,0,0,1
PPL_6220_2,0,0,0,0,0,0
PPL_6220_3,0,0,0,0,0,0
PPL_6220_4,0,0,0,0,0,0
PPL_6210_2,0,0,0,0,0,0
PPL_6240_1,0,0,0,0,0,0
PPL_6230_1,0,0,0,0,0,0
PPL_6200_1,0,0,0,0,1,0
PPL_6231_2,0,0,0,0,0,0
PPL_6220_5,0,0,0,0,0,0
PPL_6231_3,0,0,0,0,0,0
PPL_6260_1,0,0,0,0,0,0
PPL_6260_2,0,0,1,0,1,0
PPL_6260_3,0,1,0,0,1,0
PPL_6260_4,0,0,0,0,0,0
PPL_6200_2,1,1,1,0,1,1
PPL_6230_2,0,0,0,0,0,0
PPL_6232_2,0,0,0,0,0,0
PPL_6200_3,0,0,0,0,0,0
PPL_6210_3,0,0,0,0,0,0
PPL_6300_1,0,0,0,0,0,0
PPL_6300_2,0,0,0,0,0,0
PPL_6300_3,0,0,0,0,0,0
PPL_6300_4,0,0,0,0,0,0
PPL_6310_1,0,0,0,0,0,0
PPL_6320_1,0,0,0,0,0,0
PPL_6322_1,0,0,0,0,0,0
PPL_6310_2,0,0,0,0,0,0
PPL_6324_1,0,0,0,0,0,0
PPL_6310_3,0,0,0,0,0,0
PPL_6330_1,1,1,1,0,1,1
PPL_6330_2,0,0,0,0,0,0
PPL_5010_3,0,0,0,0,0,0
PPL_5030_2,0,0,1,0,1,0
PPL_5020_3,0,0,0,0,0,0
PPL_5000_3,0,0,0,0,0,0
PPL_5020_4,0,0,0,0,0,0
PPL_5010_4,0,0,0,0,0,0
PPL_5100_3,0,0,0,0,0,0
PPL_5100_4,0,0,0,0,0,0
PPL_5120_3,0,0,0,0,0,0
PPL_5122_2,0,0,0,0,0,0
PPL_5120_4,0,0,0,0,0,0
PPL_5130_4,0,0,1,0,1,1
PPL_5130_5,0,0,0,0,1,0
PPL_5130_6,0,0,0,0,0,0
PPL_6232_3,0,0,0,0,0,0
PPL_6231_4,0,0,0,0,0,0
PPL_6250_2,0,0,0,0,0,0
PPL_6210_4,0,0,0,0,0,0
PPL_6220_6,1,0,1,0,0,1
PPL_6220_7,0,0,0,0,0,0
PPL_6220_8,0,0,0,0,0,0
PPL_6220_9,0,0,0,0,0,0
PPL_6210_5,0,0,0,0,0,0
PPL_6240_2,0,0,0,0,0,0
PPL_6230_3,0,0,0,0,0,0
PPL_6200_4,0,0,0,0,1,0
PPL_6231_5,0,0,0,0,0,0
PPL_6220_10,0,0,0,0,0,0
PPL_6231_6,0,0,0,0,0,0
PPL_6260_5,0,0,0,0,0,0
PPL_6260_6,0,0,1,0,1,0
PPL_6260_7,0,1,0,0,1,0
PPL_6260_8,0,0,0,0,0,0
PPL_6200_5,1,1,1,0,1,1
PPL_6230_4,0,0,0,0,0,0
PPL_6232_4,0,0,0,0,0,0
PPL_6200_6,0,0,0,0,0,0
PPL_6210_6,0,0,0,0,0,0
PPL_6300_5,0,0,0,0,0,0
PPL_6300_6,0,0,0,0,0,0
PPL_6300_7,0,0,0,0,0,0
PPL_6300_8,0,0,0,0,0,0
PPL_6310_4,0,0,0,0,0,0
PPL_6320_2,0,0,0,0,0,0
PPL_6322_2,0,0,0,0,0,0
PPL_6310_5,0,0,0,0,0,0
PPL_6324_2,0,0,0,0,0,0
PPL_6310_6,0,0,0,0,0,0
PPL_6330_3,1,1,1,0,1,1
ECO_AS_5310_1,0,0,0,0,0,0
ECO_AS_5530_1,0,0,0,0,0,0
ECO_AS_5530_2,0,0,0,0,0,0
ECO_AS_5530_3,0,0,0,0,0,0
ECO_AS_5110_1,0,0,0,0,0,0
ECO_AS_5110_2,0,0,0,0,0,0
ECO_AS_5110_3,0,0,0,0,0,0
ECO_AS_5120_1,0,0,0,0,0,0
ECO_AS_5120_2,0,0,0,0,0,0
ECO_AS_6120_1,0,0,0,0,0,0
ECO_AS_6140_1,0,0,0,0,0,0
ECO_AS_6140_2,0,0,0,0,0,0
ECO_AS_5210_1,0,0,0,0,0,0
ECO_AS_5210_2,0,0,0,0,0,0
ECO_AS_5220_1,0,0,0,0,0,0
ECO_AS_5220_2,0,0,0,0,0,0
ECO_AS_6230_1,0,0,0,0,0,0
ECO_AS_6240_1,0,0,0,0,0,0
ECO_AS_5320_1,0,0,0,0,0,0
ECO_AS_5320_2,0,0,0,0,0,0
ECO_AS_6330_1,0,0,0,0,0,0
ECO_AS_6330_2,0,0,0,0,0,0
ECO_AS_5410_1,0,0,0,0,0,0
ECO_AS_6410_1,0,0,0,0,0,0
ECO_AS_6410_2,0,0,0,0,0,0
ECO_AS_6410_3,0,0,0,0,0,0
ECO_AS_5510_1,0,0,0,0,0,0
ECO_AS_5510_2,0,0,0,0,0,0
ECO_AS_6510_1,0,0,0,0,0,0
ECO_AS_6510_2,0,0,0,0,0,0
ECO_AS_6520_1,0,0,0,0,0,0
ECO_AS_6520_2,0,0,0,0,0,0
ECO_AS_5010_1,0,0,0,0,0,0
ECO_AS_5010_2,0,0,0,0,0,0
ECO_AS_6010_1,0,0,0,0,0,0
ECO_AS_6010_2,0,0,0,0,0,0
ECO_AS_6010_3,0,0,0,0,0,0
ECO_AS_6012_1,0,0,0,0,0,0
ECO_AS_6130_1,0,0,0,0,0,0
ECO_AS_6980_1,0,0,0,0,0,0
ECO_AS_6980_2,0,0,0,0,0,0
ECO_AS_6980_3,0,0,0,0,0,0
ECO_AS_6980_4,0,0,0,0,0,0
ECO_AS_5610_1,0,0,0,0,0,0
ECO_AS_5610_2,0,0,0,0,0,0
ECO_AS_6610_1,0,0,0,0,0,0
ECO_AS_6610_2,0,0,0,0,0,0
ECO_AS_5620_1,0,0,0,0,0,0
ECO_AS_5620_2,0,0,0,0,0,0
ECO_AS_5620_3,0,0,0,0,0,0
ECO_AS_5620_4,0,0,0,0,0,0
ECO_AS_5530_4,0,0,0,0,0,0
ECO_AS_5530_5,0,0,0,0,0,0
ECO_AS_5530_6,0,0,0,0,0,0
ECO_AS_5110_4,0,0,0,0,0,0
ECO_AS_5110_5,0,0,0,0,0,0
ECO_AS_5110_6,0,0,0,0,0,0
ECO_AS_5120_3,0,0,0,0,0,0
ECO_AS_5120_4,0,0,0,0,0,0
ECO_AS_6120_2,0,0,0,0,0,0
ECO_AS_6140_3,0,0,0,0,0,0
ECO_AS_6140_4,0,0,0,0,0,0
ECO_AS_5210_3,0,0,0,0,0,0
ECO_AS_5210_4,0,0,0,0,0,0
ECO_AS_5220_3,0,0,0,0,0,0
ECO_AS_5220_4,0,0,0,0,0,0
ECO_AS_6230_2,0,0,0,0,0,0
ECO_AS_6240_2,0,0,0,0,0,0
ECO_AS_5320_3,0,0,0,0,0,0
ECO_AS_5320_4,0,0,0,0,0,0
ECO_AS_6330_3,0,0,0,0,0,0
ECO_AS_6330_4,0,0,0,0,0,0
ECO_AS_5410_2,0,0,0,0,0,0
ECO_AS_6410_4,0,0,0,0,0,0
ECO_AS_6410_5,0,0,0,0,0,0
ECO_AS_6410_6,0,0,0,0,0,0
ECO_AS_5510_3,0,0,0,0,0,0
ECO_AS_5510_4,0,0,0,0,0,0
ECO_AS_6510_3,0,0,0,0,0,0
ECO_AS_6510_4,0,0,0,0,0,0
ECO_AS_6520_3,0,0,0,0,0,0
ECO_AS_6520_4,0,0,0,0,0,0
ECO_AS_5010_3,0,0,0,0,0,0
ECO_AS_5010_4,0,0,0,0,0,0
ECO_AS_6010_4,0,0,0,0,0,0
ECO_AS_6010_5,0,0,0,0,0,0
ECO_AS_6010_6,0,0,0,0,0,0
ECO_AS_6012_2,0,0,0,0,0,0
ECO_AS_6130_2,0,0,0,0,0,0
ECO_AS_6980_5,0,0,0,0,0,0
ECO_AS_6980_6,0,0,0,0,0,0
ECO_AS_6980_7,0,0,0,0,0,0
ECO_AS_6980_8,0,0,0,0,0,0
ECO_AS_5610_3,0,0,0,0,0,0
ECO_AS_5610_4,0,0,0,0,0,0
ECO_AS_6610_3,0,0,0,0,0,0
ECO_AS_6610_4,0,0,0,0,0,0
ECO_AS_5620_5,0,0,0,0,0,0
ECO_AS_5620_6,0,0,0,0,0,0
ECO_AS_5620_7,0,0,0,0,0,0
_1,0,0,0,0,0,0
_2,0,0,0,0,0,0
_3,0,0,0,0,0,0
_4,0,0,0,0,0,0
_5,0,0,0,0,0,0
_6,0,0,0,0,0,0
_7,0,0,0,0,0,0
FIS_MBES_7402_1,0,0,0,0,0,0
FIS_MBES_7402_2,0,0,0,0,0,0
FIS_MBES_7402_3,0,0,0,0,0,0
FIS_MBES_7412_1,0,0,0,0,0,0
FIS_MBES_7412_2,0,0,0,0,0,0
FIS_MBES_7412_3,0,0,0,0,0,0
FIS_MBES_7422_1,0,0,0,0,0,0
FIS_MBES_7422_2,0,0,0,0,0,0
FIS_MBES_7422_3,0,0,0,0,0,0
FIS_MBES_7432_1,0,0,0,0,0,0
FIS_MBES_7432_2,0,0,0,0,0,0
FIS_MBES_7432_3,0,0,0,0,0,0
FIS_MBES_7532_1,0,0,0,0,0,0
FIS_MBES_7442_1,0,0,0,0,0,0
FIS_MBES_7442_2,0,0,0,0,0,0
FIS_MBES_7442_3,0,0,0,0,0,0
FIS_MBES_7542_1,0,0,0,0,0,0
FIS_MBES_7452_1,0,0,0,0,0,0
FIS_MBES_7452_2,0,0,0,0,0,0
FIS_MBES_7452_3,0,0,0,0,0,0
FIS_MBES_7552_1,0,0,0,0,0,0
FIS_MLS_7402_1,0,0,0,0,0,0
FIS_MLS_7402_2,0,0,0,0,0,0
FIS_MLS_7402_3,0,0,0,0,0,0
FIS_MLS_7412_1,0,0,0,0,0,0
FIS_MLS_7412_2,0,0,0,0,0,0
FIS_MLS_7412_3,0,0,0,0,0,0
FIS_MLS_7422_1,0,0,0,0,0,0
FIS_MLS_7422_2,0,0,0,0,0,0
FIS_MLS_7422_3,0,0,0,0,0,0
FIS_MLS_7432_1,0,0,0,0,0,0
FIS_MLS_7432_2,0,0,0,0,0,0
