id,climate,energy,environment,resources,sustainability,dedicated,total
14_15,0,0,0,0,0,0,0
13_85,6,6,12,0,16,8,18
13_18,0,0,0,0,0,0,0
12_91,0,0,0,0,0,0,0
12_88,0,0,0,0,0,0,0
12_76,0,0,2,0,0,0,2
12_56,0,0,0,0,0,0,0
12_54,0,0,0,0,0,0,0
12_52,0,0,0,0,0,0,0
12_50,0,0,0,0,0,0,0
12_47,0,0,0,0,0,0,0
12_46,0,0,0,0,0,0,0
12_40,1,0,0,0,0,0,1
12_37,0,0,0,0,0,0,0
12_35,0,0,0,0,0,0,0
12_32,0,0,0,0,0,0,0
12_28,0,0,1,0,0,0,1
12_26,0,0,0,0,0,0,0
12_20,0,0,0,0,0,0,0
12_18,0,0,0,0,0,0,0
12_15,0,0,0,0,0,0,0
11_91,0,0,0,0,0,0,0
11_88,0,0,0,0,2,0,2
11_76,24,4,14,0,12,20,34
11_56,0,0,0,0,0,0,0
11_52,0,0,0,0,0,0,0
11_50,0,0,0,0,0,0,0
11_47,2,0,0,0,0,0,2
11_46,0,0,0,0,0,0,0
11_35,3,0,5,0,4,1,8
11_32,2,0,4,0,6,2,8
11_28,0,0,2,0,2,0,2
11_26,0,0,0,0,0,0,0
11_20,0,0,0,0,0,0,0
11_18,0,0,2,0,2,2,2
11_15,2,0,2,0,0,2,2
11_13,2,0,2,0,2,0,2
11_08,0,0,0,0,0,0,0
11_00,11,2,17,2,4,8,23
02_95,0,0,0,0,0,0,0
02_74,0,0,0,0,2,0,2
02_44,0,0,0,0,0,0,0
02_43,0,0,0,0,0,0,0
02_42,0,0,0,0,0,0,0
02_38,2,0,2,2,0,0,6
02_36,0,0,0,0,0,0,0
02_34,4,2,2,2,0,2,10
02_25,0,0,4,0,4,4,4
02_22,2,0,0,0,0,0,2
02_17,0,0,0,0,0,0,0
02_15,0,0,0,0,0,0,0
02_11,2,0,4,0,4,4,6
02_07,0,0,0,0,0,0,0
02_05,0,0,0,0,0,0,0
02_02,2,0,4,0,4,4,6
02_00,4,0,8,0,4,4,10
