id,climate,energy,environment,resources,sustainability,dedicated,total
自然科学_図学,0,0,0,0,0,0,0
大学院横断教育_複合領域系,4,1,1,0,4,1,5
大学院横断教育_キャリア形成系,0,0,1,0,1,0,1
自然科学_地球科学,7,0,6,1,5,4,12
大学院横断教育_健康・医療系,0,0,0,0,1,0,1
大学院横断教育_自然科学,0,1,1,0,0,1,1
大学院横断教育_人文社会科学系,4,0,3,0,0,0,4
外国語_英語リーディング(後期),1,0,0,2,2,0,5
外国語_英語リーディング(前期),0,0,1,6,4,0,9
大学院横断教育_統計・情報・データ科学系,0,0,0,0,0,0,0
大学院共通_コミュニケーション,0,0,0,0,0,0,0
大学院共通_情報テクノサイエンス,0,0,0,0,0,0,0
大学院共通_社会適合,0,0,0,0,0,0,0
少人数教育_ILASセミナー（海外）,0,0,0,0,0,0,0
自然科学_生物学,4,1,4,1,3,2,7
統合科学_その他統合科学,0,2,0,0,0,1,2
統合科学_森里海連環学,1,0,2,0,1,0,2
統合科学_環境,11,1,10,2,9,10,13
統合科学_統合科学,9,3,9,2,5,5,10
自然科学_化学,3,4,2,1,2,4,5
キャリア形成_その他キャリア形成,0,0,0,0,0,0,0
キャリア形成_地域連携,1,0,1,0,1,0,1
キャリア形成_学芸員課程,0,0,0,0,0,0,0
キャリア形成_コンプライアンス,0,0,0,0,0,0,0
自然科学_物理学,0,0,0,0,0,0,0
外国語_英語ライティング－リスニングＡ,0,0,0,0,0,0,0
少人数教育_ILAS Seminar-E2,6,0,3,1,3,3,7
キャリア形成_国際コミュニケーション,0,0,0,0,0,0,0
自然科学_データ科学,0,0,0,0,0,0,0
健康・スポーツ_健康・スポーツ科学,0,0,0,0,0,0,0
人文・社会科学_日本理解,0,0,0,0,0,0,0
健康・スポーツ_スポーツ実習,0,0,0,0,0,0,0
情報学_情報学科目群科目,5,0,0,0,0,0,5
人文・社会科学_地域・文化,3,0,2,1,4,1,7
人文・社会科学_外国文献研究,0,0,0,0,2,0,2
少人数教育_ILASセミナー,7,2,14,3,13,6,23
人文・社会科学_法・政治・経済,2,0,3,0,3,2,5
人文・社会科学_芸術・文学・言語,0,0,0,0,0,0,0
人文・社会科学_教育・心理・社会,1,0,1,0,1,1,2
外国語_英語ライティング－リスニングＢ,0,0,0,0,0,0,0
人文・社会科学_歴史・文明,0,0,0,0,0,0,0
人文・社会科学_哲学・思想,0,0,0,0,0,0,0
自然科学_数学,0,0,0,0,0,0,0
