id,climate,energy,environment,resources,sustainability,dedicated
21070001,0,0,0,0,0,0
21070002,0,0,0,0,0,0
21071001,0,0,0,0,0,0
21071002,0,0,0,0,0,0
21071003,0,0,0,0,0,0
21071004,0,0,0,0,0,0
21071005,0,0,0,0,0,0
21071006,0,0,0,0,0,0
21071007,0,0,0,0,0,0
21071008,0,0,0,0,0,0
21071009,0,0,0,0,0,0
21071010,0,0,0,0,0,0
21071011,0,0,0,0,0,0
21071012,0,0,0,0,0,0
21071051,0,0,0,0,0,0
21071013,0,0,0,0,0,0
21071052,0,0,0,0,0,0
21071053,0,0,0,0,0,0
21071054,0,0,0,0,0,0
21071055,0,0,0,0,0,0
21071056,0,0,0,0,0,0
21071058,0,0,0,0,0,0
21071059,0,0,0,0,0,0
21071060,0,0,0,0,0,0
21071061,0,0,0,0,0,0
21071062,0,0,0,0,0,0
21071064,0,0,0,0,0,0
21071063,0,0,0,0,0,0
21072001,0,0,0,0,0,0
21072002,0,0,0,0,0,0
21072003,0,0,0,0,0,0
21072004,0,0,0,0,0,0
21072005,0,0,0,0,0,0
21072006,0,0,0,0,0,0
21072007,0,0,0,0,0,0
21072008,0,0,0,0,0,0
21072009,0,0,0,0,0,0
21072010,0,0,0,0,0,0
21072011,0,0,0,0,0,0
21072012,0,0,0,0,0,0
21072013,0,0,0,0,0,0
21072014,0,0,0,0,0,0
21072016,0,0,0,0,0,0
21072017,0,0,0,0,0,0
21072015,0,0,0,0,0,0
21072018,0,0,0,0,0,0
21072019,0,0,0,0,0,0
21072020,0,0,0,0,0,0
21072021,0,0,0,0,0,0
21072051,0,0,0,0,0,0
21072052,0,0,0,0,0,0
21072053,0,0,0,0,0,0
21072054,0,0,0,0,0,0
21072055,0,0,0,0,0,0
21072056,0,0,0,0,0,0
21072057,0,0,0,0,0,0
21072059,0,0,0,0,0,0
21072058,0,0,0,0,0,0
21072060,0,0,0,0,0,0
21072061,0,0,0,0,0,0
21072062,0,0,0,0,0,0
21073001,0,0,0,0,0,0
21073002,0,0,0,0,0,0
21073003,0,0,0,0,0,0
21073004,0,0,0,0,0,0
21073005,0,0,0,0,0,0
21073006,0,0,0,0,0,0
21073051,0,0,0,0,0,0
21073052,0,0,0,0,0,0
21073053,0,0,0,0,0,0
21073054,0,0,0,0,0,0
21073055,0,0,0,0,0,0
21073056,0,0,0,0,0,0
21073057,0,0,0,0,0,0
21073059,0,0,0,0,0,0
21074001,0,0,0,0,0,0
21074002,0,0,0,0,0,0
21074003,0,0,0,0,0,0
21074005,0,0,0,0,0,0
21074004,0,0,0,0,0,0
21074006,0,0,0,0,0,0
21074007,0,0,0,0,0,0
21074008,0,0,0,0,0,0
21074009,0,0,0,0,0,0
21074010,0,0,0,0,0,0
21074012,0,0,0,0,0,0
21074011,0,0,0,0,0,0
