id,climate,energy,environment,resources,sustainability,dedicated,total
001,51,10,32,2,50,16,92
120,1,2,7,0,10,10,14
020,0,0,0,0,0,0,0
040,1,1,6,0,6,0,9
050,6,0,6,3,12,3,16
061,0,0,0,0,0,0,0
062,0,0,0,0,0,0,0
063,1,0,0,0,1,0,2
070,0,0,1,1,0,1,1
080,1,0,2,0,1,0,2
090,11,22,18,8,30,19,63
105,1,2,4,0,4,4,6
100,19,2,22,8,17,14,39
0201,0,0,0,0,0,0,0
501,0,2,1,0,3,1,3
690,16,0,0,0,5,12,17
530,3,6,5,6,11,7,19
550,0,0,0,0,2,0,2
560,2,0,0,0,0,0,2
570,0,0,0,0,0,0,0
650,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0
5812,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0
5814,0,0,1,0,0,1,1
590,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0
610,23,18,14,0,13,6,48
660,1,0,3,0,3,1,5
620,2,2,0,0,4,2,4
630,8,9,6,0,3,11,16
640,6,2,7,7,7,4,22
680,3,5,4,3,9,4,17
820,0,0,0,0,0,0,0
