id,climate,energy,environment,resources,sustainability,dedicated,total
1_311414_14,0,0,0,0,0,0,0
1_311301_13,8,14,6,3,9,15,22
6_363000_30,0,1,2,0,2,2,4
1_311313_13,0,0,0,0,0,0,0
6_362929_29,0,0,0,0,0,0,0
3_332103_21,3,3,2,0,0,2,5
3_332101_21,8,14,6,3,9,15,22
4_342305_23,0,0,0,0,0,0,0
6_362704_27,3,3,0,1,1,4,4
3_332004_20,3,3,0,1,1,4,4
6_362828_28,1,1,1,0,1,0,1
5_352424_24,1,0,0,0,0,0,1
5_352403_24,3,3,2,0,0,2,5
3_332121_21,4,2,3,0,2,3,6
5_352400_24,1,1,0,0,0,0,1
3_332020_20,2,4,2,0,0,4,6
3_332104_21,3,3,0,1,1,4,4
3_120900_,0,0,0,0,0,0,0
3_332001_20,8,14,6,3,9,15,22
3_332100_21,1,0,1,0,2,1,3
3_332000_20,1,1,2,0,2,1,3
6_362727_27,3,4,4,3,9,11,14
3_332003_20,3,3,2,0,0,2,5
5_120900_,0,0,0,0,0,0,0
6_362506_25,1,3,4,0,3,3,8
6_362602_26,2,4,0,1,2,2,4
6_362502_25,2,4,0,1,2,2,4
6_362702_27,2,4,0,1,2,2,4
6_362701_27,8,14,6,3,9,15,22
6_362626_26,2,0,8,1,6,4,10
6_120900_,0,0,0,0,0,0,0
6_362600_26,4,3,8,1,8,4,11
6_362700_27,7,6,11,2,12,9,19
6_362500_25,2,1,3,0,2,3,5
4_342222_22,0,0,0,0,0,0,0
4_342300_23,0,0,0,0,0,0,0
6_362606_26,1,3,4,0,3,3,8
4_342323_23,0,0,0,0,0,0,0
4_120900_,0,0,0,0,0,0,0
6_362525_25,1,5,1,1,4,5,8
4_342205_22,0,0,0,0,0,0,0
1_120900_,0,0,0,0,0,0,0
1_311300_13,2,0,1,0,1,0,3
1_311212_12,0,0,0,0,0,0,0
1_311111_11,0,0,0,0,0,0,0
1_311100_11,0,0,0,0,0,0,0
1_311200_12,0,0,0,0,0,0,0
1_311400_14,1,0,1,0,0,0,2
2_321500_15,0,1,1,0,1,1,2
2_321919_19,2,0,1,0,2,2,2
4_342200_22,0,0,0,0,0,0,0
2_321818_18,0,0,0,0,0,0,0
2_321902_19,2,4,0,1,2,2,4
2_321704_17,3,3,0,1,1,4,4
2_321602_16,2,4,0,1,2,2,4
2_321717_17,1,5,0,0,0,3,5
2_321504_15,3,3,0,1,1,4,4
2_321701_17,8,14,6,3,9,15,22
2_321616_16,0,0,1,0,1,1,1
2_321503_15,3,3,2,0,0,2,5
2_321501_15,8,14,6,3,9,15,22
2_321515_15,2,4,1,0,2,4,5
2_120900_,0,0,0,0,0,0,0
2_321803_18,3,3,2,0,0,2,5
2_321703_17,3,3,2,0,0,2,5
2_321700_17,1,3,3,1,2,2,6
2_321900_19,2,0,2,1,2,2,2
2_321600_16,0,1,0,0,0,0,1
2_321800_18,0,0,0,0,0,0,0
2_321502_15,2,4,0,1,2,2,4
