id,climate,energy,environment,resources,sustainability,dedicated
ab1101,0,0,0,0,0,0
ab1111,0,0,0,0,0,0
ab1112,0,1,0,0,0,1
ab1113,0,0,0,0,0,0
ab1114,0,0,0,0,0,0
ab1115,0,0,0,0,0,0
ab1121,0,0,0,0,0,0
ab1122,0,0,0,0,0,0
ab1131,0,0,0,0,0,0
ab1132,0,0,0,0,0,0
ab1133,0,0,0,0,0,0
ab1134,0,0,0,0,0,0
ab1141,0,0,0,0,0,0
ab1151,0,0,0,0,0,0
ab1201,0,0,0,0,0,0
ab1202,0,0,0,0,0,0
ab1203,0,0,0,0,0,0
ab1204,0,0,0,0,0,0
ab1205,0,0,0,0,0,0
ab1211,0,0,0,0,0,0
ab1212,0,0,0,0,0,0
ab1213,0,0,0,0,0,0
ab1214,0,0,0,0,0,0
ab1215,0,0,0,0,0,0
ab1301,0,0,0,0,0,0
ab1311,0,0,0,0,0,0
ab1312,0,0,0,0,0,0
ab1313,0,0,0,0,0,0
ab1314,0,0,0,0,0,0
ab1321,0,0,1,0,0,0
ab1322,0,0,0,0,0,0
ab1324,0,0,0,0,0,0
ab1325,0,0,0,0,0,0
ab1326,0,0,0,0,0,0
ab1331,0,0,0,0,0,0
ab1332,0,0,0,0,0,0
ab1401,0,0,0,0,0,0
ab1402,0,0,0,0,0,0
ab1403,0,0,0,0,0,0
ab1405,0,0,0,0,0,0
ab1411,0,0,0,0,0,0
ab1412,0,0,0,0,0,0
ab1413,0,0,0,0,0,0
ab1414,0,0,0,0,0,0
ab1415,0,0,0,0,0,0
ab1421,0,0,0,0,0,0
ab1422,0,0,0,0,0,0
ab1431,0,0,0,0,0,0
ab1442,0,0,0,0,0,0
ab1443,0,0,0,0,0,0
ab1451,0,0,0,0,0,0
ab1501,0,0,0,0,0,0
ab1502,0,0,0,0,0,0
ab1503,0,0,0,0,0,0
ab1511,0,0,0,0,0,0
ab1513,0,0,0,0,0,0
ab1514,0,0,0,0,0,0
ab1515,0,0,0,0,0,0
ab1521,0,0,0,0,0,0
ab1522,0,0,0,0,0,0
ab1523,0,0,0,0,0,0
ab1533,0,0,0,0,0,0
ab1534,0,0,0,0,0,0
ab1541,0,0,0,0,0,0
ab1542,0,0,0,0,0,0
ab1543,0,0,0,0,0,0
ab1551,0,0,0,0,0,0
ab1561,0,0,0,0,0,0
ab15711,0,0,0,0,0,0
ab15712,0,0,0,0,0,0
ab1611,0,0,0,0,0,0
ab1612,0,0,0,0,0,0
ab1613,0,0,0,0,0,0
ab1614,0,0,0,0,0,0
ab1622,0,0,0,0,0,0
ab1623,0,0,0,0,0,0
ab1631,0,0,0,0,0,0
ab1642,0,0,0,0,0,0
ab1644,0,0,0,0,0,0
ab1652,0,0,0,0,0,0
ab1654,0,0,0,0,0,0
ab1655,0,0,0,0,0,0
ab1701,0,0,0,0,0,0
ab17012,1,0,1,0,1,0
ab1702,0,0,0,0,0,0
ab1703,0,0,0,0,0,0
ab1704,0,0,0,0,0,0
ab1706,0,0,0,0,0,0
ab1707,0,0,0,0,0,0
ab2101,0,0,0,0,0,0
ab2102,0,0,0,0,0,0
ab2113,0,0,0,0,0,0
ab2114,0,0,0,0,0,0
ab2115,0,0,0,0,0,0
ab2121,0,0,0,0,0,0
ab2122,0,0,0,0,0,0
ab2123,0,0,0,0,0,0
ab2131,0,0,0,0,0,0
ab2132,0,0,0,0,0,0
ab2141,0,0,0,0,0,0
ab2143,0,0,0,0,0,0
ab2151,0,0,0,0,0,0
ab2152,0,0,0,0,0,0
ab2153,0,0,0,0,0,0
ab2202,0,0,0,0,0,0
ab2203,0,0,0,0,0,0
ab2204,0,0,0,0,0,0
ab2205,0,0,0,0,0,0
ab2211,0,0,0,0,0,0
ab2212,0,0,0,0,0,0
ab2221,0,0,0,0,0,0
ab2301,0,0,0,0,0,0
ab2303,0,0,0,0,0,0
ab2304,0,0,0,0,0,0
ab2311,0,0,0,0,0,0
ab2312,0,0,0,0,0,0
ab2313,0,0,0,0,0,0
ab2314,0,0,0,0,1,1
ab2321,0,0,0,0,0,0
ab2322,0,0,0,0,0,0
ab2323,0,0,0,0,0,0
ab2324,0,0,0,0,0,0
ab2325,0,0,0,0,0,0
ab2331,0,0,0,0,0,0
ab2333,0,0,0,0,0,0
ab2342,0,0,0,0,0,0
ab2343,0,0,0,0,0,0
ab2351,0,0,0,0,0,0
ab2352,0,0,0,0,0,0
ab2402,0,0,0,0,1,0
ab2403,0,0,0,0,0,0
ab2404,0,0,0,0,0,0
ab2413,0,0,0,0,0,0
ab2421,0,0,0,0,0,0
ab2422,0,0,0,0,0,0
ab2461,0,0,0,0,0,0
ab2501,0,0,0,0,0,0
ab2502,0,0,0,0,0,0
ab2503,0,0,0,0,0,0
ab2504,0,0,0,0,0,0
ab2511,0,0,0,0,0,0
ab2512,0,0,0,0,0,0
ab2521,0,0,0,0,0,0
ab2522,0,0,0,0,0,0
ab2523,0,0,0,0,0,0
ab2534,0,0,0,0,0,0
ab2541,0,0,0,0,0,0
ab2551,0,0,0,0,0,0
ab2552,0,0,0,0,0,0
ab2554,0,0,0,0,0,0
ab2564,0,0,0,0,0,0
ab2636,0,0,0,0,0,0
ab2637,0,0,0,0,0,0
ab2642,0,0,0,0,0,0
ab2643,0,0,0,0,0,0
ab2644,0,0,0,0,0,0
ab2645,0,0,0,0,0,0
ab2646,0,0,0,0,0,0
ab2652,0,0,0,0,0,0
ab2655,0,0,0,0,0,0
ab2656,0,0,0,0,0,0
ab2657,0,0,0,0,0,0
ab2661,0,0,0,0,1,0
ab2662,0,0,0,0,0,0
ab2663,0,0,0,0,0,0
ab2665,0,0,0,0,0,0
ab2670,0,0,0,0,0,0
ab57111,0,0,0,0,0,0
ab57112,0,0,0,0,0,0
ab5712,0,0,0,0,0,0
ab5713,0,0,0,0,0,0
ab57141,0,0,0,0,0,0
ab57142,0,0,0,0,0,0
ab57211,0,0,0,0,0,0
ab57212,0,0,0,0,0,0
ab5722,0,0,0,0,0,0
ab5723,0,0,0,0,0,0
ab5725,0,0,0,0,0,0
ab5726,0,0,0,0,0,0
ab57311,0,0,0,0,0,0
ab57312,0,0,0,0,0,0
ab5732,0,0,0,0,0,0
ab5733,0,0,0,0,0,0
ab57411,0,0,0,0,0,0
ab57412,0,0,0,0,0,0
ab5742,0,0,0,0,0,0
ab5743,0,0,0,0,0,0
ab57511,0,0,0,0,0,0
ab57512,0,0,0,0,0,0
ab5752,0,0,0,0,0,0
ab5753,0,0,0,0,0,0
ad2602,0,0,0,0,0,0
ad2604,0,0,0,0,0,0
ad2607,0,0,0,0,0,0
am1111,0,0,0,0,0,0
am1112,0,0,0,0,0,0
am1121,0,0,0,0,0,0
am1131,0,0,0,0,0,0
am1132,0,0,0,0,1,0
am1133,0,0,0,0,0,0
am1141,0,0,0,0,0,0
am1151,0,0,0,0,0,0
am1211,0,0,0,0,0,0
am1221,0,0,0,0,0,0
am1222,0,0,0,0,0,0
am1231,0,0,0,0,0,0
am12310,0,0,0,0,0,0
am1241,0,0,0,0,0,0
am1242,0,0,0,0,0,0
am1251,0,0,0,0,0,0
