id,climate,energy,environment,resources,sustainability,dedicated,total
m_ikougaku,0,0,0,0,0,0,0
d_ikougaku,0,0,0,0,0,0,0
b_yakugaku,0,0,0,0,0,0,0
m_seimeikagaku,2,0,3,0,3,1,5
d_seimeikagaku,0,0,0,0,0,0,0
m_jouhoukagaku,1,0,0,0,0,0,1
d_jouhoukagaku,0,0,0,0,0,0,0
m_kankyoukagaku,14,11,19,3,22,33,38
d_kankyoukagaku,3,2,1,0,5,4,5
b_hoken,1,0,0,0,0,1,1
m_kokusaibunka,2,0,0,0,2,0,4
d_kokusaibunka,0,0,0,0,0,0,0
b_nougaku,1,1,2,0,4,2,6
m_nougaku,2,0,2,0,2,1,5
d_nougaku,0,0,0,0,0,0,0
b_hougaku,0,0,1,0,1,1,2
m_hougaku,0,0,1,0,1,0,2
d_hougaku,0,0,0,0,1,0,1
b_kyouikugaku,0,0,0,0,1,0,1
m_kyouikugaku,0,0,0,0,3,0,3
d_kyouikugaku,0,0,0,0,1,0,1
m_igaku,4,0,3,0,2,2,9
d_igaku,0,0,0,0,1,0,1
b_rigaku,7,0,3,1,2,3,11
m_rigaku,5,0,5,0,3,3,10
d_rigaku,2,0,4,0,2,3,6
b_keizaigaku,1,0,0,0,3,0,4
m_keizaigaku,0,0,0,0,0,0,0
d_keizaigaku,0,0,0,0,0,0,0
b_kougaku,14,14,15,5,26,17,38
m_kougaku,4,7,7,1,12,8,20
d_kougaku,2,2,2,0,3,2,7
b_bungaku,2,0,13,0,2,0,15
m_bungaku,0,0,5,0,0,0,5
d_bungaku,0,0,0,0,0,0,0
b_zengaku,24,6,16,4,16,2,42
