id,climate,energy,environment,resources,sustainability,dedicated
0121001S,0,0,0,0,0,0
0121003,0,0,0,0,0,0
0121003S,0,0,0,0,0,0
0121004S,0,0,0,0,0,0
0121005S,0,0,0,0,0,0
0121006S,0,0,0,0,0,0
0121007S,0,0,0,0,0,0
0121008S,0,0,0,0,0,0
0121009S,0,0,0,0,0,0
0121010S,0,0,0,0,0,0
0121011S,0,0,0,0,0,0
0121012S,0,0,0,0,0,0
0121013S,0,0,0,0,0,0
0121014S,0,0,0,0,0,0
0121015S,0,0,0,0,0,0
0121016S,0,0,0,0,0,0
0121017S,0,0,0,0,0,0
0121018S,0,0,0,0,0,0
0121019S,0,0,0,0,0,0
012101C,0,0,0,0,0,0
0121020S,0,0,0,0,0,0
0121021,0,0,0,0,0,0
0121021S,0,0,0,0,0,0
0121022,0,0,0,0,0,0
0121022S,0,0,0,0,0,0
0121023,0,0,0,0,0,0
0121023S,0,0,0,0,0,0
0121024,0,0,0,0,0,0
0121024S,0,0,0,0,0,0
0121025S,0,0,0,0,0,0
0121026S,0,0,0,0,0,0
0121027S,0,0,0,0,0,0
0121028S,0,0,0,0,0,0
0121029S,0,0,0,0,0,0
012102C,0,0,0,0,0,0
0121030S,0,0,0,0,0,0
0121031S,0,0,0,0,0,0
0121032S,0,0,0,0,0,0
0121033S,0,0,0,0,0,0
0121034S,0,0,0,0,0,0
0121035S,0,0,0,0,0,0
0121036S,0,0,0,0,0,0
0121037S,0,0,0,0,0,0
0121038S,0,0,0,0,0,0
0121039S,0,0,0,0,0,0
012103C,0,0,0,0,0,0
0121040S,0,0,0,0,0,0
0121041S,0,0,0,0,0,0
0121042S,0,0,0,0,0,0
0121043S,0,0,0,0,0,0
0121044S,0,0,0,0,0,0
0121045S,0,0,0,0,0,0
0121046S,0,0,0,0,0,0
0121047S,0,0,0,0,0,0
0121048S,0,0,0,0,0,0
0121049S,0,0,0,0,0,0
012104C,0,0,0,0,0,0
0121050S,0,0,0,0,0,0
0121051,0,0,0,0,0,0
0121051S,0,0,0,0,0,0
0121052,0,0,0,0,0,0
0121052S,0,0,0,0,0,0
0121053,0,0,0,0,0,0
0121053S,0,0,0,0,0,0
0121054S,0,0,0,0,0,0
0121055S,0,0,0,0,0,0
0121056S,0,0,0,0,0,0
0121057S,0,0,0,0,0,0
0121058S,0,0,0,0,0,0
0121059S,0,0,0,0,0,0
012105C,0,0,0,0,0,0
0121060S,0,0,0,0,0,0
0121061S,0,0,0,0,0,0
0121062S,0,0,0,0,0,0
0121063S,0,0,0,0,0,0
0121064S,0,0,0,0,0,0
0121065S,0,0,0,0,0,0
0121066S,0,0,0,0,0,0
0121067S,0,0,0,0,0,0
0121068S,0,0,0,0,0,0
0121069S,0,0,0,0,0,0
012106C,0,0,0,0,0,0
0121070S,0,0,0,0,0,0
0121071,0,0,0,0,0,0
0121071S,0,0,0,0,0,0
0121072,0,0,0,0,0,0
0121072S,0,0,0,0,0,0
0121073S,0,0,0,0,0,0
0121074S,0,0,0,0,0,0
0121075S,0,0,0,0,0,0
0121076S,0,0,0,0,0,0
0121077S,0,0,0,0,0,0
0121078S,0,0,0,0,0,0
0121079S,0,0,0,0,0,0
012107C,0,0,0,0,0,0
0121080S,0,0,0,0,0,0
0121081S,0,0,0,0,0,0
0121082S,0,0,0,0,0,0
0121083S,0,0,0,0,0,0
0121084S,0,0,0,0,0,0
0121085S,0,0,0,0,0,0
0121086S,0,0,0,0,0,0
