id,climate,energy,environment,resources,sustainability,dedicated,total
g_20,0,0,0,0,0,0,0
g_21,0,1,0,0,0,0,1
g_24,0,0,0,0,0,0,0
g_23,0,0,0,0,0,0,0
g_16,8,3,2,0,0,1,10
g_25,33,16,9,0,24,20,55
g_14,2,1,1,1,1,1,3
g_19,0,0,0,0,1,0,1
g_18,7,1,13,5,13,7,28
g_22,13,4,15,4,14,12,30
ug_10,0,0,0,0,0,0,0
g_12,3,0,3,0,3,0,3
ug_9,1,0,1,0,0,0,1
g_13,0,0,2,0,3,1,4
ug_7,4,3,2,1,4,3,7
g_17,14,14,17,3,11,13,38
ug_2,0,0,2,0,0,1,2
g_11,0,0,4,1,3,2,4
ug_6,17,3,18,5,18,13,46
ug_1,0,0,0,0,1,0,1
ug_5,7,3,4,1,1,2,9
ug_4,2,0,5,0,3,1,5
ug_3,15,18,22,7,30,20,47
g_15,22,2,30,0,15,24,47
jd_26,32,21,40,1,48,21,85
ug_8,23,12,9,2,12,5,42
