id,climate,energy,environment,resources,sustainability,dedicated
01AA007,0,0,0,0,0,0
01AA008,0,0,0,0,0,0
01AA009,0,0,0,0,0,0
01AA010,0,0,0,0,0,0
01AA011,0,0,0,0,0,0
01AA018,0,0,0,0,0,0
01AA026,0,0,0,0,0,0
01AA027,0,0,0,0,0,0
01AA028,0,0,0,0,0,0
01AA029,0,0,0,0,0,0
01AA030,0,0,0,0,0,0
01AA031,0,0,0,0,0,0
01AA041,0,0,0,0,0,0
01AA042,0,0,0,0,0,0
01AA043,0,0,0,0,0,0
01AA044,0,0,0,0,0,0
01AA045,0,0,0,0,0,0
01AA046,0,0,0,0,0,0
01AA047,0,0,0,0,0,0
01AA048,0,0,0,0,0,0
01AA049,0,0,0,0,0,0
01AA050,0,0,0,0,0,0
01AA051,0,0,0,0,0,0
01AA052,0,0,0,0,0,0
01AA053,0,0,0,0,0,0
01AA055,0,0,0,0,0,0
01AA056,0,0,0,0,0,0
01AA057,0,0,0,0,0,0
01AA058,0,0,0,0,0,0
01AA059,0,0,0,0,0,0
01AA060,0,0,0,0,0,0
01AA061,0,0,0,0,0,0
01AA062,0,0,0,0,0,0
01AA063,0,0,0,0,0,0
01AA064,0,0,0,0,0,0
01AA065,0,0,0,0,0,0
01AB002,0,0,0,0,0,0
01AB003,0,0,0,0,0,0
01AB004,0,0,0,0,0,0
01AB005,0,0,0,0,0,0
01AB006,0,0,0,0,0,0
01AB007,0,0,0,0,0,0
01AB008,0,0,0,0,0,0
01AB009,0,0,0,0,0,0
01AB101,0,0,0,0,0,0
01AB102,0,0,0,0,0,0
01AB201,0,0,0,0,0,0
01AB203,0,0,0,0,0,0
01AB204,0,0,0,0,0,0
01AB205,0,0,0,0,0,0
01AB206,0,0,0,0,0,0
01AB207,0,0,0,0,0,0
01AB208,0,0,0,0,0,0
01AB209,0,0,0,0,0,0
01AB210,0,0,0,0,0,0
01AB211,0,0,0,0,0,0
01AB212,0,0,0,0,0,0
01AB213,0,0,0,0,0,0
01AB214,0,0,0,0,0,0
01AB215,0,0,0,0,0,0
01AB216,0,0,0,0,0,0
01AB217,0,0,0,0,0,0
01AB218,0,0,0,0,0,0
01AB219,0,0,0,0,0,0
01AB220,0,0,0,0,0,0
01AB221,0,0,0,0,0,0
01AB222,0,0,0,0,0,0
01AB223,0,0,0,0,0,0
01AB224,0,0,0,0,0,0
01AB225,0,0,0,0,0,0
01AB226,0,0,0,0,0,0
01AB227,0,0,0,0,0,0
01AB228,0,0,0,0,0,0
01AB229,0,0,0,0,0,0
01AB236,0,0,0,0,0,0
01AB237,0,0,0,0,0,0
01AB238,0,0,0,0,0,0
01AB239,0,0,0,0,0,0
01AB240,0,0,0,0,0,0
01AB241,0,0,0,0,0,0
01AB242,0,0,0,0,0,0
01AB243,0,0,0,0,0,0
01AB244,0,0,0,0,0,0
01AB245,0,0,0,0,0,0
01AB246,0,0,0,0,0,0
01AB247,0,0,0,0,0,0
01AB248,0,0,0,0,0,0
01AB250,0,0,0,0,0,0
01AB251,0,0,0,0,0,0
01AB252,0,0,0,0,0,0
01AB253,0,0,0,0,0,0
01AB275,0,0,0,0,0,0
01AB276,0,0,0,0,0,0
01AB277,0,0,0,0,0,0
01AB278,0,0,0,0,0,0
01AB279,0,0,0,0,0,0
