id,climate,energy,environment,resources,sustainability,dedicated,total
6691_6994,2,1,6,2,3,5,8
6691_6790,1,0,0,0,1,1,1
6691_6791,0,0,0,0,0,0,0
6691_6792,1,0,0,0,1,1,2
6691_6785,0,0,0,0,0,0,0
6691_6777,0,0,0,0,0,0,0
6691_6774,0,0,0,0,0,0,0
6691_6776,0,0,2,0,2,1,3
6691_6778,1,0,1,0,0,0,1
6691_6744,11,1,22,1,24,26,47
6691_6731,2,2,3,0,4,4,8
6691_6716,0,1,0,0,2,0,3
6691_6689,0,0,4,1,5,3,7
1025_4274,0,0,0,0,1,1,1
1025_1023,0,0,0,0,0,0,0
1025_1022,1,1,9,0,6,2,10
1025_1021,26,2,42,3,32,46,76
1025_1020,1,3,4,0,4,5,9
1025_1019,0,1,0,0,1,0,2
1025_1018,1,0,0,0,2,1,2
1025_1017,4,0,2,1,3,2,8
1025_1016,0,0,0,0,1,0,1
1025_6545,1,1,7,0,5,3,9
1025_6544,13,6,27,1,32,32,61
1025_6543,2,0,6,3,8,6,12
1025_989,2,0,3,0,1,2,4
441_4186,0,0,0,0,1,0,1
441_42,10,2,23,7,47,24,70
441_147,0,0,0,0,0,0,0
441_23,0,0,0,0,0,0,0
441_146,0,0,1,0,1,0,1
441_41,0,0,1,0,5,1,6
288_1100,0,0,0,0,0,0,0
288_1282,2,2,4,0,0,1,7
288_1581,0,0,0,0,1,0,1
288_440,3,0,0,0,1,0,3
