school,fields
artevelde,content
ecam,content;goal
ecsedi-isalt,content;goal
ehb,content
he-ferrer,content
heaj,content;goal
hech,content;goal
hel,content
heldb,content
helmo,content
henallux,content;goal
hepl,
hers,content;goal
hokkaidou,content;goal;other
howest,content
ichec,content;goal
ihecs,content;goal;activity
ispg,goal
issig,content;goal
kuleuven,content;goal
kyotou,content;goal
kyushu,content;goal;other
odisee,content;goal
thomasmore,content;goal
titech,content;goal;other
tokyou,content;goal
tohoku,content;goal
tsukuba,content;goal;other
uantwerpen,content;goal
ucll,content;goal
uclouvain,content;goal;other
ugent,content
uhasselt,content
ulb,content;goal
uliege,content;goal
umons,content;goal
unamur,content
uslb,content;goal
vinci,content;goal
vives,content;goal
vub,content;goal
